dimension,run,c,h,a,theta_h,theta_a,average edge weight,number of communites,modularity,range of avg comm. states,std. of avg comm.states
2,3,0.1,0.01,0.1,0.01,0.01,2.5919041071102407,2,0.0032135658151645208,0.20498782990648728,0.10249391495324364
2,3,0.1,0.03,0.1,0.01,0.01,0.5951934311438083,4,0.07050350870456998,0.522125779801101,0.2035145797284546
2,2,0.03,0.3,0.01,0.01,0.03,0.0,100,1,19.141983269514384,3.5213252192674007
2,1,0.03,0.3,0.1,0.01,0.03,0.0,100,1,17.37879669625375,3.261952975548337
2,4,0.01,0.1,0.1,0.01,0.1,0.0,100,1,17.96030095136535,3.2603241721437
2,1,0.03,0.1,0.1,0.01,0.03,4.8968473251216194e-06,92,0.0,15.578525130939372,3.26945025534988
2,0,0.03,0.01,0.1,0.01,0.1,3.2634251466752655,3,0.01660472086873649,1.1477329579765998,0.48446753327840875
2,0,0.01,0.03,0.1,0.01,0.1,1.087222533770072,3,0.10762585155042156,2.393212118705354,0.9815601638411148
2,1,0.03,0.03,0.01,0.01,0.03,0.0,100,1,14.552990192034152,2.897976886506594
2,3,0.01,0.3,0.01,0.01,0.3,0.0,100,1,15.2083222197546,3.170348429208447
2,3,0.1,0.01,0.01,0.01,0.01,0.02718392049222068,6,0.19679113425395997,0.8337997945737718,0.2783826131941081
2,4,0.01,0.03,0.01,0.01,0.1,0.0,100,1,16.55815836342535,3.4781512078911088
2,3,0.01,0.3,0.1,0.01,0.3,0.0,100,1,15.095450651719965,3.16174602980927
2,2,0.03,0.1,0.01,0.01,0.03,0.0,100,1,17.825519696238153,3.3154216759529582
2,4,0.03,0.03,0.1,0.01,0.01,1.2904002779647565,3,0.10322391777230062,2.265024034265017,0.9371336306361977
2,0,0.01,0.01,0.1,0.01,0.1,5.01131442273599,3,0.025082844502877302,3.387549825521239,1.445701563010521
2,1,0.01,0.1,0.01,0.01,0.3,0.0,100,1,17.066670026749446,3.2306351408349103
2,0,0.03,0.01,0.01,0.01,0.1,0.0011592959137856757,10,0.6449748321104586,4.496005423584624,1.2833058207402432
