run,c,h,a,theta_h,theta_a,average edge weight,number of communites,modularity,range of avg comm. states,std. of avg comm.states
3,0.01,0.3,0.01,0.01,0.03,4.771142516793063e-07,79,0.8471731976039801,14.001828617424037,3.0900450214299293
1,0.01,0.01,0.1,0.01,0.03,13.291355890524839,2,0.008801216837565184,2.529900434722764,1.264950217361382
1,0.01,0.03,0.1,0.01,0.03,8.635170049736992,2,0.03990085940703389,3.076571124887695,1.5382855624438474
0,0.1,0.3,0.01,0.01,0.03,4.1972872316971897e-07,82,0.8774752667456325,14.913482582382212,3.618445669322316
4,0.3,0.01,0.1,0.01,0.01,3.2310547660105584,1,2.3314683517128287e-15,0.0,0.0
2,0.03,0.1,0.01,0.01,0.03,1.6985811912926455e-07,82,0.8839984867276951,17.8027539859724,3.649297789685258
4,0.3,0.03,0.01,0.01,0.01,0.003398679233676279,7,0.4763771829529617,0.9191492360361099,0.2772596186991392
4,0.3,0.01,0.01,0.01,0.01,0.37851502735186854,4,0.035263419823885145,0.12248778740523403,0.04820476330717135
1,0.03,0.03,0.01,0.01,0.03,2.5774206406396385e-07,65,0.8151324024076756,14.345410887238025,3.0974263094685384
1,0.01,0.01,0.01,0.01,0.03,0.25244949037472375,2,0.20483242513568437,3.8488829031169067,1.9244414515584534
0,0.1,0.3,0.1,0.01,0.03,3.7889856280472102e-06,70,0.7045899776908283,15.539471632564679,3.256441113648205
1,0.01,0.1,0.1,0.01,0.03,0.16154758242652695,2,0.2302456801258094,5.555048806086065,2.7775244030430324
4,0.1,0.03,0.1,0.01,0.01,3.8142171533801807,3,0.012964739625533718,0.8624693966193653,0.35212203908187645
1,0.03,0.03,0.1,0.01,0.03,6.531577404256039,2,0.031166612720439718,1.3661580527033106,0.6830790263516553
1,0.03,0.01,0.1,0.01,0.03,8.532306371852965,2,0.005588919395836334,1.2798329488229212,0.6399164744114606
3,0.01,0.1,0.01,0.01,0.03,1.238462349330466e-07,85,0.8483615443340684,16.53019104035109,3.894067883421964
4,0.1,0.03,0.01,0.01,0.01,9.401820344405787e-06,45,0.3618384495193614,10.288479901532067,2.9150037426730484
0,0.1,0.1,0.01,0.01,0.03,1.4513834416501045e-07,82,0.8857466556628134,11.260592154065854,2.6924340193957366
3,0.03,0.3,0.1,0.01,0.03,3.7789972198782392e-06,71,0.7867810339353788,14.326721289115554,3.577736646291726
3,0.01,0.3,0.1,0.01,0.03,2.415548503071802e-06,76,0.8095058355735627,17.30030424405077,3.8539499450647354
2,0.1,0.01,0.01,0.01,0.03,0.29096134393837,2,0.07948813025599127,0.6496697940691964,0.3248348970345982
4,0.1,0.1,0.1,0.01,0.01,0.15949724510013227,3,0.2221233116247002,2.538823791933096,1.0646502898516252
4,0.1,0.01,0.1,0.01,0.01,5.362324126962382,2,6.506684317678091e-05,0.013919683812589234,0.006959841906294617
1,0.1,0.3,0.01,0.01,0.03,1.7581867923370795e-07,86,0.8641031169209057,17.51999207481281,3.1788988113329038
4,0.03,0.3,0.01,0.01,0.03,2.8347658085278777e-07,83,0.8975329055235262,17.253397642579024,3.3748951191969527
4,0.01,0.3,0.01,0.01,0.03,2.2836453502775068e-07,86,0.8878323259707148,16.160227026477124,3.465814399057769
2,0.03,0.1,0.1,0.01,0.03,0.15440308773934208,4,0.1996455289726099,5.462420409891955,1.9460935604710365
0,0.3,0.01,0.1,0.01,0.03,3.1042361636522853,1,2.220446049250313e-16,0.0,0.0
0,0.3,0.03,0.01,0.01,0.03,0.0021198226386850063,9,0.528944649712985,1.500456291202732,0.4137307799548741
1,0.1,0.3,0.1,0.01,0.03,3.7542793223522877e-06,71,0.7929134621566561,13.706228555820712,3.085661478046433
0,0.3,0.01,0.01,0.01,0.03,0.3633783167495301,6,0.03708621153525409,0.2465434067828542,0.09327883098157089
2,0.01,0.03,0.01,0.01,0.03,1.8851614534647379e-07,77,0.7018006851012021,15.247293071803707,3.5429193128914314
