run,c,h,a,theta_h,theta_a,avg_edw,num_com,mod,avg_com,sd_com
3,0.1,0.3,0.1,0.01,0.01,6.429148045230581e-06,65,0.8275311769794464,16.297475650544072,105.42395833544532
2,0.1,0.01,0.01,0.01,0.01,0.302199613570921,4,0.06028474013206191,0.5681653304459312,0.08220197516141754
3,0.03,0.1,0.01,0.01,0.01,1.2455161259746304e-07,78,0.8605769242234895,13.318743021221412,92.11840496841444
3,0.01,0.1,0.01,0.01,0.01,2.51524960640857e-07,82,0.8041903423718872,17.276871915738987,137.12036751908383
3,0.3,0.3,0.1,0.01,0.01,2.1411571545072823e-06,76,0.8957160139474334,18.30114093015252,126.98552419864758
3,0.3,0.01,0.1,0.01,0.01,3.331573802822896,1,4.440892098500626e-16,0.0,0.0
3,0.03,0.01,0.01,0.01,0.01,0.2729122247557537,3,0.15119947099443393,2.1418837098482517,1.3339553776360662
3,0.01,0.1,0.1,0.01,0.01,0.23239464311094987,3,0.24622716696303126,5.492147590948111,9.083248468456958
4,0.1,0.3,0.01,0.01,0.01,2.910985898141363e-07,85,0.8253617153180983,15.63882407866926,104.83267948449644
3,0.03,0.3,0.1,0.01,0.01,3.0440157144202266e-06,68,0.8485590570152485,15.144457292245828,101.12488637896435
3,0.3,0.03,0.1,0.01,0.01,2.3908203919468902,3,0.0030479941532334173,0.26687903989999817,0.02732274987013551
3,0.01,0.03,0.01,0.01,0.01,5.049625556492479e-07,65,0.7592746566981367,14.665390295359748,96.06376945899753
3,0.3,0.01,0.01,0.01,0.01,0.376918272848625,5,0.033282747375424374,0.13555833013956742,0.005663837569066311
4,0.01,0.3,0.01,0.01,0.01,3.5105911202341027e-07,81,0.8924342096331254,15.125078089492522,107.69115460609657
3,0.1,0.03,0.1,0.01,0.01,3.7049481807398976,2,0.015521315664538154,0.5335187820771172,0.10063624702884752
3,0.03,0.1,0.1,0.01,0.01,0.21028535476860216,3,0.2131598355869089,5.025253384551784,7.313816841070658
3,0.1,0.1,0.1,0.01,0.01,0.1440957604581735,3,0.22945782482974345,2.383558499142951,1.8050804251444326
4,0.03,0.3,0.01,0.01,0.01,3.344001156299632e-07,81,0.8133577076060061,12.812166842959794,85.73303636663715
3,0.3,0.03,0.01,0.01,0.01,0.002496678716244615,9,0.5169265591063626,2.114281162605619,1.0646685954914779
3,0.03,0.03,0.01,0.01,0.01,3.786084462450099e-07,68,0.8887234094417231,15.86512737241673,96.8591348021832
3,0.01,0.03,0.1,0.01,0.01,8.56195540453342,2,0.0362159666373833,3.2424354386857117,3.7170438234248038
3,0.1,0.03,0.01,0.01,0.01,1.2302434162003429e-05,45,0.2880443936942067,10.886065567007105,53.92690358534635
4,0.3,0.3,0.01,0.01,0.01,3.8445449645047487e-07,78,0.8550519330834775,15.703548041161556,87.45140377729048
4,0.01,0.3,0.1,0.01,0.01,4.62633902177781e-06,63,0.814824772988885,19.003412483763697,104.28825116145552
4,0.1,0.1,0.01,0.01,0.01,1.8538244206778567e-07,80,0.8690106419496937,15.063901864489345,76.6440459597214
3,0.03,0.03,0.1,0.01,0.01,6.3706605298342005,2,0.03007602212127966,1.6011235057271052,0.9063682278262343
3,0.3,0.1,0.1,0.01,0.01,0.053543842138184104,5,0.18858565730855475,0.48470322387031345,0.07251684469582302
3,0.01,0.01,0.1,0.01,0.01,12.002220485530582,2,0.007891884233434732,2.4682070980538695,2.153863617550399
3,0.01,0.01,0.01,0.01,0.01,0.2744678978819148,3,0.18451157336302104,4.845738713550537,6.782377277698865
4,0.3,0.1,0.01,0.01,0.01,1.2763918548617897e-07,82,0.877512718639206,13.648215715961445,75.68144958479729
4,0.1,0.3,0.1,0.01,0.01,5.796904917982565e-06,65,0.758534581717451,17.74420925185563,116.35070950065028
3,0.03,0.01,0.1,0.01,0.01,8.69974727500511,2,0.005140581637834152,1.0435569549262356,0.38502357322451436
4,0.01,0.1,0.01,0.01,0.01,9.631556083475717e-08,88,0.7637788394984439,12.117037814278326,85.36702999962846
4,0.03,0.1,0.01,0.01,0.01,3.059626182444321e-07,74,0.8788339640241576,16.248255060438204,102.55709586360551
3,0.1,0.01,0.1,0.01,0.01,5.417937782007671,1,-1.7763568394002505e-15,0.0,0.0
